p_pred,p_exact,q_pred,q_exact
85.863335,85.863335,15.377656,15.377656
100.196014,99.48409,114.18036,113.209366
116.26469,115.55207,268.07462,268.55872
129.23312,129.34273,425.3427,426.1652
134.05504,134.01344,533.23584,532.997
131.37622,131.70552,572.6533,572.65015
128.89246,130.05319,558.7007,558.74066
127.60093,128.37563,513.5214,512.9671
125.687775,126.579636,452.14395,451.41348
121.90113,121.555176,381.14423,381.29257
116.11716,116.0988,300.2527,300.49973
108.66723,109.51242,205.38275,204.40134
100.66005,101.78516,96.5697,97.49863
95.404434,96.14874,1.02458,3.6802044
95.13304,94.91678,-49.11916,-48.03706
96.811584,96.88741,-51.936825,-51.605366
99.28183,99.007675,-28.308472,-28.55695
100.28506,99.51114,-5.757374,-5.5707855
99.921936,99.17398,7.4310417,8.247665
98.93957,98.68035,15.354141,16.144424
97.97577,97.8661,19.247908,19.489834
96.95293,96.61773,17.41156,17.827114
96.130486,95.53349,11.765959,12.898933
95.32219,95.0965,10.914864,11.674639
94.381256,94.62068,10.909147,13.667462
93.41935,93.5271,9.9226,12.882826
92.55191,92.251945,6.703251,7.6677284
91.74413,91.5114,4.16852,3.6105766
90.889145,91.132164,3.6951427,4.193571
90.0169,90.27893,3.5122585,4.836729
89.13527,89.06389,1.7210503,1.4496975
88.28783,88.19575,-1.0288162,-2.3654613
87.49205,87.817406,-1.276413,-2.0850563
86.6979,87.08735,-0.4915371,-0.6608105
85.84881,85.99333,-1.8923855,-2.6807823
85.0238,85.376,-3.3939896,-4.4893494
84.68401,85.429344,0.4247837,-0.29000473
84.00012,84.57225,2.3688679,3.7192936
83.06055,82.44062,-3.4891243,-3.6563873
82.44493,81.915215,-10.789116,-12.413025
87.58973,87.33273,15.785137,15.388065
